title,image_url,link_url,link_type,platform_name,RT,Fav,Total,Type
REGENE,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/regene/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?regene,play,browser,12,37,49,Tap
C NODES,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/cnodes/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?cnodes,play,browser,38,75,113,Tap
PUMP PRESS,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/pumppress/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?pumppress,play,browser,7,26,33,One-button
TAPE J,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/tapej/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?tapej,play,browser,15,64,79,One-button
B BLAST,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/bblast/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?bblast,play,browser,31,63,94,Tap
B WALLS,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/bwalls/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?bwalls,play,browser,9,21,30,One-button
P FIT,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/pfit/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?pfit,play,browser,26,65,91,Slide
NS CLIMB,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/nsclimb/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?nsclimb,play,browser,30,81,111,One-button
DESCENT S,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/descents/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?descents,play,browser,103,181,284,One-button
TWO LANE,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/twolane/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?twolane,play,browser,15,41,56,One-button
ZONE B,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/zoneb/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?zoneb,play,browser,39,114,153,One-button
BAMBOO,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/bamboo/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?bamboo,play,browser,100,219,319,One-button
UNCTRL,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/unctrl/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?unctrl,play,browser,13,36,49,One-button
PILLARS 3D,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/pillars3d/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?pillars3d,play,browser,16,73,89,Slide
CHARGE BEAM,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/chargebeam/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?chargebeam,play,browser,39,118,157,One-button
